pile,ward,precinct,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15
Azeem,7,3,Azeem,Mallon,Hicks,Sobrinho-Wheeler,,,,,,,,,,,
Azeem,4,3,Azeem,McGovern,Toner,,,,,,,,,,,,
Azeem,4,3,Azeem,Zondervan,Simmons,McGovern,Siddiqui,McGuirk,Carlone,Bullister,Mallon,Nolan,,,,,
Azeem,4,3,Azeem,Sobrinho-Wheeler,Skeadas,Bullister,Mallon,,,,,,,,,,
Azeem,4,3,Azeem,Bullister,Eckstut,Hicks,Levy,McGuirk,Moree,Pierre,Skeadas,Toner,Williams,,,,
Azeem,4,3,Azeem,Siddiqui,Skeadas,Zondervan,Pierre,Simmons,Williams,Sobrinho-Wheeler,McGuirk,,,,,,
Azeem,4,3,Azeem,Mallon,Bullister,Nolan,Zondervan,Toner,,,,,,,,,
Azeem,4,3,Azeem,McGovern,Mallon,McGuirk,Simmons,Hicks,Sobrinho-Wheeler,Siddiqui,Toner,,,,,,
Azeem,4,3,Azeem,Hicks,Mallon,McGovern,McGuirk,Siddiqui,Simmons,Sobrinho-Wheeler,Toner,,,,,,
Azeem,4,3,Azeem,Zondervan,Siddiqui,Skeadas,Simmons,McGovern,Toner,,,,,,,,
Azeem,4,3,Azeem,,,,,,,,,,,,,,
Azeem,4,3,Azeem,Siddiqui,Simmons,,,,,,,,,,,,
Azeem,4,3,Azeem,Pierre,Sobrinho-Wheeler,Skeadas,Hicks,Siddiqui,Zondervan,Simmons,,,,,,,
Azeem,4,3,Azeem,McGovern,Sobrinho-Wheeler,Skeadas,Mallon,Zondervan,Siddiqui,McGuirk,Williams,Hicks,,,,,
Azeem,4,3,Azeem,Sobrinho-Wheeler,Mallon,Toner,McGuirk,,,,,,,,,,
Azeem,4,3,Azeem,Skeadas,Sobrinho-Wheeler,Zondervan,Hicks,,,,,,,,,,
Azeem,4,3,Azeem,Toner,McGovern,Sobrinho-Wheeler,Mallon,Simmons,Siddiqui,Hicks,,,,,,,
Azeem,4,3,Azeem,McGovern,Carlone,Skeadas,Mallon,Zondervan,Siddiqui,Simmons,Azeem,Williams,Hicks,,,,
Azeem,4,3,Azeem,Siddiqui,Williams,Mallon,Zondervan,Skeadas,Hicks,Carlone,Nolan,,,,,,
Azeem,4,3,Azeem,Mallon,Bullister,Nolan,Zondervan,Toner,,,,,,,,,
Azeem,9,3,Azeem,Mallon,McGuirk,McGovern,Siddiqui,Simmons,Toner,Eckstut,Bullister,Sobrinho-Wheeler,Hicks,Moree,,,
Azeem,9,3,Azeem,Toner,Skeadas,Sobrinho-Wheeler,Levy,Bullister,Simmons,Siddiqui,McGovern,,,,,,
Azeem,9,3,Azeem,McGovern,Zondervan,Siddiqui,Mallon,Sobrinho-Wheeler,,,,,,,,,
Azeem,9,3,Azeem,McGuirk,Hicks,Mallon,Siddiqui,Simmons,Sobrinho-Wheeler,Toner,McGovern,,,,,,
Azeem,9,3,Azeem,Mallon,McGuirk,Siddiqui,Simmons,Toner,McGovern,Eckstut,Sobrinho-Wheeler,Bullister,Hicks,,,,
Azeem,9,3,Azeem,Zondervan,Siddiqui,Sobrinho-Wheeler,Mallon,McGuirk,Simmons,McGovern,Skeadas,Bullister,Hicks,,,,
Azeem,9,3,Azeem,McGuirk,McGovern,Mallon,Siddiqui,Bullister,,,,,,,,,
Azeem,9,3,Azeem,McGovern,Mallon,Siddiqui,Sobrinho-Wheeler,Hicks,,,,,,,,,
Azeem,9,3,Azeem,Sobrinho-Wheeler,McGovern,Siddiqui,Mallon,Nolan,Hicks,Williams,McGuirk,Skeadas,Carlone,Toner,Simmons,Bullister,Zondervan
Azeem,9,3,Azeem,Simmons,,,,,,,,,,,,,
Azeem,9,3,Azeem,Eckstut,Mallon,Hicks,Toner,Levy,McGovern,Pierre,Sobrinho-Wheeler,McGuirk,Zondervan,Williams,Bullister,Skeadas,Simmons
Azeem,9,3,Azeem,Siddiqui,Skeadas,McGuirk,McGovern,Mallon,,,,,,,,,
Azeem,9,3,Azeem,Sobrinho-Wheeler,Hicks,Toner,Simmons,Siddiqui,Mallon,Nolan,McGovern,,,,,,
Azeem,9,3,Azeem,Sobrinho-Wheeler,Toner,Siddiqui,Hicks,Mallon,McGovern,Simmons,McGuirk,,,,,,
Azeem,9,3,Azeem,Eckstut,Mallon,Hicks,Toner,Levy,McGovern,Pierre,Sobrinho-Wheeler,McGuirk,Williams,Zondervan,Bullister,Simmons,Simmons
Azeem,9,3,Azeem,Levy,Sobrinho-Wheeler,Bullister,Zondervan,Carlone,,,,,,,,,
Azeem,9,3,Azeem,Bullister,Sobrinho-Wheeler,Mallon,McGovern,Simmons,McGuirk,Hicks,Siddiqui,Skeadas,Eckstut,Zondervan,Toner,Nolan,Williams
Azeem,9,3,Azeem,Bullister,Hicks,Mallon,Siddiqui,Simmons,Zondervan,Sobrinho-Wheeler,Toner,Carlone,Eckstut,Levy,McGuirk,Skeadas,McGovern
Azeem,9,3,Azeem,McGovern,Zondervan,Siddiqui,Mallon,Sobrinho-Wheeler,Hicks,,,,,,,,
Azeem,9,3,Azeem,Hicks,Mallon,McGovern,McGuirk,Siddiqui,Simmons,Sobrinho-Wheeler,Toner,,,,,,
Azeem,9,3,Azeem,Bullister,Mallon,Zondervan,Skeadas,Pierre,Nolan,McGovern,Williams,Eckstut,,,,,
Azeem,9,3,Azeem,Simmons,Toner,Sobrinho-Wheeler,Mallon,McGuirk,Siddiqui,Hicks,McGovern,,,,,,
Azeem,9,3,Azeem,Skeadas,Siddiqui,Williams,Bullister,Mallon,Sobrinho-Wheeler,McGovern,Hicks,Simmons,Zondervan,Pierre,Levy,,
Azeem,7,2,Azeem,Sobrinho-Wheeler,Siddiqui,Simmons,McGovern,,,,,,,,,,
Azeem,7,2,Azeem,Toner,Bullister,McGuirk,Simmons,Pierre,Hicks,Eckstut,Zondervan,Williams,Skeadas,Siddiqui,Nolan,Moree,Levy
Azeem,7,2,Azeem,Sobrinho-Wheeler,McGuirk,Nolan,Williams,Siddiqui,Carlone,Skeadas,Zondervan,Eckstut,Bullister,,,,
Azeem,7,2,Azeem,Pierre,Simmons,McGovern,Moree,Toner,Williams,Siddiqui,McGuirk,,,,,,
Azeem,7,2,Azeem,Pierre,,,,,,,,,,,,,
Azeem,7,2,Azeem,McGovern,Zondervan,Siddiqui,Williams,Skeadas,Sobrinho-Wheeler,Nolan,Mallon,,,,,,
Azeem,7,2,Azeem,Sobrinho-Wheeler,McGovern,Simmons,Mallon,Siddiqui,Hicks,McGuirk,Toner,,,,,,
Azeem,7,2,Azeem,Williams,Skeadas,Bullister,Zondervan,Simmons,Siddiqui,Nolan,McGovern,,,,,,
Azeem,7,2,Azeem,Hicks,Mallon,,,,,,,,,,,,
Azeem,7,2,Azeem,Siddiqui,Zondervan,Mallon,Sobrinho-Wheeler,,,,,,,,,,
Azeem,7,2,Azeem,Bullister,McGovern,McGuirk,Zondervan,Williams,Toner,Siddiqui,Nolan,Skeadas,Moree,Sobrinho-Wheeler,Mallon,Levy,Simmons
Azeem,7,2,Azeem,Mallon,McGovern,Siddiqui,Sobrinho-Wheeler,,,,,,,,,,
Azeem,7,2,Azeem,Sobrinho-Wheeler,McGovern,McGuirk,Mallon,Hicks,Siddiqui,Simmons,Toner,,,,,,
Azeem,7,2,Azeem,Bullister,Carlone,Mallon,McGovern,Nolan,Siddiqui,Sobrinho-Wheeler,Zondervan,,,,,,
Azeem,7,2,Azeem,Bullister,Siddiqui,Mallon,Simmons,Sobrinho-Wheeler,Williams,McGuirk,Carlone,Zondervan,Skeadas,Moree,Toner,McGovern,Nolan
Azeem,7,2,Azeem,Carlone,Mallon,Siddiqui,McGuirk,Skeadas,Sobrinho-Wheeler,,,,,,,,
Azeem,7,2,Azeem,Siddiqui,Skeadas,Simmons,Nolan,Sobrinho-Wheeler,Williams,Eckstut,Bullister,,,,,,
Azeem,7,2,Azeem,McGuirk,Eckstut,Sobrinho-Wheeler,Williams,Bullister,Siddiqui,Moree,Carlone,Skeadas,Zondervan,Pierre,Nolan,Simmons,Toner
Azeem,7,2,Azeem,Carlone,McGovern,Skeadas,Pierre,Eckstut,Mallon,Williams,Nolan,Levy,Hicks,Toner,Moree,Simmons,McGuirk
